Title,ParkType,Bookmark
Annual Park Ranking Report for Recreation Visits in: 2020,Park Type: (All),Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Annual%20Park%20Ranking%20Report%20(1979%20-%20Last%20Calendar%20Year)

ParkName,Rank,Value,PercentOfTotal
William Howard Taft NHS,321,"11,100",0.00%
Frederick Douglass NHS,322,"10,969",0.00%
Pipe Spring NM,323,"10,623",0.00%
New Orleans Jazz NHP,324,"9,640",0.00%
Eleanor Roosevelt NHS,325,"9,575",0.00%
Rosie The Riveter WWII Home Front NHP,326,"9,528",0.00%
Harry S Truman NHS,327,"9,446",0.00%
Hampton NHS,328,"8,728",0.00%
Agate Fossil Beds NM,329,"8,722",0.00%
Russell Cave NM,330,"8,462",0.00%
Women's Rights NHP,331,"8,237",0.00%
Chaco Culture NHP,332,"8,231",0.00%
Eisenhower NHS,333,"7,926",0.00%
African Burial Ground NM,334,"7,908",0.00%
Thomas Edison NHP,335,"7,605",0.00%
Adams NHP,336,"6,937",0.00%
Saint Croix Island IHS,337,"6,914",0.00%
Tuskegee Airmen NHS,338,"6,843",0.00%
Minidoka NHS,339,"6,747",0.00%
Isle Royale NP,340,"6,493",0.00%
Fort Bowie NHS,341,"6,456",0.00%
Saint Paul's Church NHS,342,"5,968",0.00%
Glacier Bay NP & PRES,343,"5,748",0.00%
Cesar E. Chavez NM,344,"5,668",0.00%
Fort Union NM,345,"5,334",0.00%
Knife River Indian Villages NHS,346,"5,263",0.00%
Fort Union Trading Post NHS,347,"5,225",0.00%
Theodore Roosevelt Inaugural NHS,348,"5,098",0.00%
Theodore Roosevelt Birthplace NHS,349,"4,984",0.00%
Lake Clark NP & PRES,350,"4,948",0.00%
National Park of American Samoa,351,"4,819",0.00%
Tuskegee Institute NHS,352,"4,737",0.00%
Alibates Flint Quarries NM,353,"4,269",0.00%
Sand Creek Massacre NHS,354,"4,215",0.00%
Brown v. Board of Education NHS,355,"4,064",0.00%
President W.J. Clinton Birthplace Home NHS,356,"4,055",0.00%
Navajo NM,357,"3,985",0.00%
Rainbow Bridge NM,358,"3,573",0.00%
Gates of the Arctic NP & PRES,359,"2,872",0.00%
Salt River Bay NHP & Ecological Pres,360,"2,704",0.00%
Bering Land Bridge NPRES,361,"2,642",0.00%
Frederick Law Olmsted NHS,362,"2,570",0.00%
Belmont-Paul Women's Equality NM,363,"2,535",0.00%
Charles Young Buffalo Soldiers NM,364,"2,461",0.00%
Edgar Allan Poe NHS,365,"2,418",0.00%
First Ladies NHS,366,"2,406",0.00%
Thomas Stone NHS,367,"2,351",0.00%
Keweenaw NHP,368,"2,130",0.00%
Maggie L. Walker NHS,369,"1,849",0.00%
Springfield Armory NHS,370,"1,032",0.00%
Yukon-Charley Rivers NPRES,371,666,0.00%
